"year","District","GOP_win","DEM_act","GOP_act","D","R","total_votes","FEC_ID_DEM","FIRST_NAME_DEM","LAST_NAME_DEM","INCUMBENT_IND_DEM","FEC_ID_GOP","FIRST_NAME_GOP","LAST_NAME_GOP","INCUMBENT_IND_GOP","DEM_PRED","GOP_PRED","PRED_DIFF","white_prct","black_prct","asian_prct","hispanic_prct","under35_prct","b35to50_prct","b50to65_prct","over65_prct","median_age","veterans_prct","lfpr","unemployment_rate","poverty_rate","assistance_rate","college_educated_prct","owner_occupied_prct","renter_occupied_prct","family_hh_prct","nonfamily_hh_prct","ppsm","highlydense_prct","dense_prct","spread_prct","highlyspread_prct","sparse_prct","DEM_IND","GOP_IND","LBT_IND","GRN_IND","IND_IND","LEAN_1","GOP_GB","DEM_GB","GB_DIFF","TOTAL_RECEIPTS_DEM","TOTAL_DISBURSEMENTS_DEM","COH_DEM","INDIVIDUAL_CONTRIBUTIONS_DEM","PARTY_CONTRIBUTIONS_DEM","INDIVIDUAL_REFUNDS_DEM","TOTAL_RECEIPTS_GOP","TOTAL_DISBURSEMENTS_GOP","COH_GOP","INDIVIDUAL_CONTRIBUTIONS_GOP","PARTY_CONTRIBUTIONS_GOP","INDIVIDUAL_REFUNDS_GOP"
2010,"AK-01",1,30.51,68.96,77606,175384,254335,"H0AK00089","Harry T., Jr.","Crawford",0,"H6AK00045","Don","Young",1,35.66,59.67,24.01,0.683202380952379,0.035,0.0511785714285722,0.0553571428571438,0.348,0.27,0.28090476190476,0.0879404761904787,34.8,0.13870238095238,0.728595238095235,0.0902738095238078,0.068,0.064,0.263416666666668,0.66,0.34,0.678988095238093,0.321011904761907,2592,0.35,0.103,0.086,0.182,0.279,1,1,0,0,0,28.95,51.6,44.8,6.8,240439.24,235571.43,4867.81,214136.59,1749.99,850,1001015.37,887310.33,170742.22,620188.18,350,20600
2010,"AL-02",1,48.79,50.97,106865,111645,219028,"H8AL02130","Bobby","Bright",1,"H0AL02087","Martha","Roby",0,45.81,44.66,-1.15000000000001,0.654285714285713,0.312,0.01,0.033,0.303047619047618,0.26742857142857,0.254,0.173559523809526,1,0.135166666666666,0.603202380952379,0.122821428571424,0.155,0.017,0.186892857142859,0.678,0.322,0.674666666666664,0.325333333333336,997,0.156,0.166,0.082,0.244,0.352,1,1,0,0,0,34.57,51.6,44.8,6.8,1413031.76,1435626.44,20339.06,493648.73,0,1430.93,1253557.11,1240275.64,13281.47,825430.34,10900,4010
2010,"AL-03",1,40.48,59.42,80204,117736,198139,"H0AL03184","Steve","Segrest",0,"H2AL03032","Mike","Rogers",1,35.02,64.32,29.3,0.651059523809523,0.315559523809524,0.01027380952381,0.029,0.328059523809523,0.254999999999999,0.251,0.163190476190479,1,0.115726190476189,0.589583333333333,0.145059523809518,0.190285714285711,0.017,0.192654761904766,0.679,0.321,0.66,0.34,962,0.107,0.197,0.145,0.257,0.306464285714283,1,1,0,0,0,20.43,51.6,44.8,6.8,8750,8750,0,3650,100,0,1141732.43,979490.74,204259.44,651809.92,6055.49,200
2010,"AL-05",1,42.03,57.89,95192,131109,226490,"H0AL05197","Steve","Raby",0,"H0AL05163","Mo","Brooks",0,38.07,48.97,10.9,0.772047619047617,0.174107142857143,0.015,0.043714285714286,0.292678571428571,0.277249999999999,0.26,0.169226190476191,1,0.118976190476189,0.619,0.127273809523803,0.116,0.0111666666666672,0.258833333333335,0.728,0.272,0.679321428571427,0.320678571428573,1194,0.166,0.263,0.138,0.258,0.175,1,1,0,0,0,30.53,51.6,44.8,6.8,929084.38,777837.46,151246.92,679792.23,10000,0,961210.63,910790.4,50420.23,565669.74,0,21650
2010,"AL-07",0,72.43,27.5,136696,51890,188724,"H0AL07086","Terri A.","Sewell",0,"H0AL07177","Don","Chamberlain",0,65.34,34,-31.34,0.352,0.622,0.00361904761904785,0.026,0.348,0.23,0.252,0.151404761904764,1,0.084,0.563,0.167869047619039,0.257571428571424,0.039619047619047,0.162952380952383,0.609,0.391,0.646928571428568,0.353071428571432,2085,0.358,0.231,0.074,0.121,0.219630952380952,1,1,0,0,0,-38.15,51.6,44.8,6.8,1802832.56,1766658.3,36018.28,1381888.86,0,1100,43555,42691,862,15102,0,0
2010,"AR-01",1,43.48,51.79,78267,93224,180016,"H0AR01109","Chad","Causey",0,"H0AR01083","Rick","Crawford",0,40,45.29,5.29,0.814833333333332,0.172047619047618,0.005,0.0254166666666671,0.277952380952381,0.25495238095238,0.259,0.203202380952383,1,0.12240476190476,0.563,0.118821428571426,0.179309523809522,0.021,0.138809523809526,0.663,0.337,0.688428571428569,0.311571428571431,689,0.094,0.115,0.094,0.295,0.402,1,1,0,1,0,28.95,51.6,44.8,6.8,1631221.91,1613863.42,17358.49,1025103.6,81.68,950,1341138.21,1249966.21,91172,795985.76,17450,1075
2010,"AR-02",1,38.27,57.9,80687,122091,210852,"H0AR02131","Joyce","Elliott",0,"H0AR02107","Tim","Griffin",0,38.64,51.78,13.14,0.757178571428568,0.206976190476192,0.014,0.0499523809523812,0.32713095238095,0.25995238095238,0.248,0.160071428571433,1,0.116321428571426,0.641583333333331,0.0954285714285685,0.115,0.0269047619047611,0.246988095238097,0.677,0.323,0.653,0.347,1714,0.315,0.196,0.08,0.231,0.18265476190476,1,1,0,1,1,17.5,51.6,44.8,6.8,1019593.5,1019386.27,207.23,707775.27,5050,0,1855578.1,1774143,81435.1,1358655.61,0,2550
2010,"AR-03",1,27.56,72.44,56542,148581,205123,"H0AR03030","David","Whitaker",0,"H0AR03055","Steve","Womack",0,30.47,57.43,26.96,0.863,0.025,0.0214047619047624,0.115595238095239,0.324892857142857,0.265357142857142,0.239,0.166452380952383,1,0.106345238095236,0.619,0.085547619047615,0.154440476190473,0.026583333333333,0.204845238095242,0.67,0.33,0.695345238095237,0.304654761904763,1370,0.195,0.203,0.132,0.252,0.218,1,1,0,0,0,37.91,51.6,44.8,6.8,81704.69,77266.01,4403.68,56713.6,5534,0,717879.42,641115.26,76764.16,506629.19,5000,1900
2010,"AR-04",0,57.53,40.15,102479,71526,178134,"H0AR04038","Mike","Ross",1,"H0AR04079","Beth Anne","Rankin",0,47.66,39.54,-8.12,0.712214285714285,0.244,0.006,0.0447976190476194,0.27522619047619,0.250904761904761,0.265,0.203369047619049,1,0.116714285714284,0.574202380952379,0.128761904761902,0.17,0.028,0.144773809523811,0.694,0.306,0.678261904761902,0.321738095238098,628,0.072,0.145,0.0765952380952397,0.213,0.483,1,1,0,1,0,26.89,51.6,44.8,6.8,2426280.46,3012726.94,44452.53,978290,10899,2650,603000.1,595854.94,7145.16,555168.25,5000,6515
2010,"AZ-01",1,43.73,49.72,99233,112816,226918,"H8AZ01104","Ann","Kirkpatrick",1,"H0AZ01259","Paul","Gosar",0,41.45,44.03,2.58,0.713,0.017,0.009,0.19504761904762,0.286,0.229428571428571,0.281035714285713,0.20286904761905,1,0.128869047619045,0.528404761904758,0.157404761904758,0.178952380952378,0.0381428571428555,0.183452380952383,0.679,0.321,0.665,0.335,1,0.18,0.174,0.117,0.172,0.357,1,1,1,0,0,17.5,51.6,44.8,6.8,1992860.04,1998802.09,13896.86,1071359.82,10156.43,6020,1173026.19,1172286.68,739.51,761949.76,16291.25,5024
